FamilyID	Luden<1>	Ornil<2>	Thmac<3>	Mymur<4>	Gamor<5>	Ammel<6>	Asmec<7>	Asmes<8>	Trros<9>	Trtib<10>	Darer<11>	Sirhi<12>	Sigra<13>	Sians<14>	Miuni<15>	Geser<16>	Ammex<17>	Plwal<18>	Prang<19>	Bubuf<20>	Soara<21>	Ereur<22>	Cocri<23>	Orcun<24>	Ranor<25>	Nagal<26>	Jajac<27>	Hegla<28>	Chlan<29>	Elmax<30>	Chasi<31>	Ectel<32>	<33>	<34>	<35>	<36>	<37>	<38>	<39>	<40>	<41>	<42>	<43>	<44>	<45>	<46>	<47>	<48>	<49>	<50>	<51>	<52>	<53>	<54>	<55>	<56>	<57>	<58>	<59>	<60>	<61>	<62>	<63>
OG0000188	-2	6	-3	5	-2	-3	0	1	0	1	0	1	0	0	-1	0	3	-2	3	11	0	-1	-2	0	0	1	0	2	0	2	1	0	0	1	1	0	0	0	0	0	3	0	1	-1	0	0	0	1	0	2	3	0	-2	0	0	0	0	0	0	0	0	0	0
OG0000189	0	0	0	0	0	0	1	-1	0	0	-1	0	6	-2	0	-1	0	-1	3	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	3	0	0	0	0	1	0	0	0	-2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000190	0	0	0	0	0	0	0	0	-1	0	-1	0	1	1	0	0	0	-1	2	1	0	0	0	0	0	-1	0	0	0	0	0	-1	0	3	0	0	0	0	1	0	0	0	0	1	2	2	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	0	0	0
OG0000191	-1	1	1	1	-1	0	-1	1	0	0	0	0	1	-1	0	0	0	0	-1	0	-1	0	0	-1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	1	0	-1	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OG0000192	-4	7	4	0	-2	-4	-1	3	-2	1	1	-1	0	0	0	0	3	-1	6	1	0	1	-1	-1	2	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	-1	2	1	0	0	0	-2	1	3	0	-1	0	0	0	0	0	0	3	0	0	0
OG0000193	-8	-3	-1	8	13	0	-2	1	4	-4	0	1	10	-5	-1	2	-2	2	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	-2	1	0	2	2	0	0	0	0	0	5	0	-4	0	0	0	0	0	0	0	0	0	0
OG0000194	-1	5	1	0	0	-2	0	0	0	-2	0	0	1	0	3	0	2	0	-1	2	0	0	0	0	1	-1	0	0	0	-1	0	0	0	-1	1	0	0	0	-1	0	0	0	0	1	1	0	1	2	1	0	1	0	-2	0	0	0	0	0	0	0	0	0	0
OG0000195	-4	3	-1	10	-1	-2	-2	2	0	-2	0	-1	0	2	0	1	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	0	0	0	5	3	0	0	0	0	0	-1	0	-1	1	0	0	0	0	0	0	-2	0	-1	0	0	0	0	0	0	0	0	0	0
OG0000196	-3	1	7	-1	0	-2	0	3	-2	1	-2	0	0	1	0	0	3	-3	0	0	0	-2	0	-1	-1	1	-1	1	0	0	0	-1	0	2	0	0	0	0	0	0	5	0	-1	1	3	0	0	0	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
OG0000197	-2	0	-1	0	1	-1	0	0	1	-1	-1	0	-2	1	0	3	-2	8	2	4	-1	0	-3	0	1	0	0	0	0	0	0	-1	0	-3	0	0	0	0	0	0	1	0	0	0	1	0	3	4	1	1	5	0	-3	0	0	0	1	0	0	0	0	0	0
OG0000198	-1	0	0	0	0	-1	-1	0	-1	0	-1	1	2	0	-1	0	1	1	0	0	-1	0	-1	0	0	-1	0	0	0	0	-1	0	0	4	0	0	0	0	0	0	0	1	0	1	3	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OG0000199	0	1	0	0	0	-2	0	0	1	-1	0	3	-1	0	0	-1	2	0	0	1	-2	0	0	-2	1	-3	1	0	1	0	0	-1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OG0000200	0	6	0	0	-2	0	2	-1	1	-2	7	0	0	1	1	-1	-1	1	0	0	4	-1	-1	12	1	1	-3	-5	7	6	-1	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	3	0	0	1	0	0	-4
