OG_ID,analysis_paml
OG0008723,paml_selected
OG0008726,paml_selected
OG0008734,paml_selected
OG0008738,paml_selected
OG0008743,paml_selected
OG0008750,paml_selected
OG0008779,paml_selected
OG0008789,paml_selected
OG0008790,paml_selected
OG0008798,paml_selected
OG0008808,paml_selected
OG0008810,paml_selected
OG0008811,paml_selected
OG0008817,paml_selected
OG0008829,paml_selected
OG0008834,paml_selected
OG0008850,paml_selected
OG0008853,paml_selected
OG0008886,paml_selected
OG0008911,paml_selected
OG0008935,paml_selected
OG0008952,paml_selected
OG0008971,paml_selected
OG0008994,paml_selected
OG0008998,paml_selected
OG0009042,paml_selected
OG0009051,paml_selected
OG0009059,paml_selected
OG0009067,paml_selected
OG0009068,paml_selected
OG0009082,paml_selected
OG0009108,paml_selected
OG0009109,paml_selected
OG0009152,paml_selected
OG0009160,paml_selected
OG0009161,paml_selected
OG0009163,paml_selected
OG0009191,paml_selected
OG0009196,paml_selected
OG0009205,paml_selected
OG0009225,paml_selected
OG0009232,paml_selected
OG0009243,paml_selected
OG0009255,paml_selected
OG0009273,paml_selected
OG0009286,paml_selected
OG0009289,paml_selected
OG0009298,paml_selected
OG0009304,paml_selected
OG0009305,paml_selected
OG0009312,paml_selected
OG0009339,paml_selected
OG0009370,paml_selected
OG0009372,paml_selected
OG0009415,paml_selected
OG0009420,paml_selected
OG0009424,paml_selected
OG0009444,paml_selected
OG0009451,paml_selected
OG0009459,paml_selected
OG0009469,paml_selected
OG0009471,paml_selected
OG0009480,paml_selected
OG0009483,paml_selected
OG0009484,paml_selected
OG0009486,paml_selected
OG0009491,paml_selected
OG0009493,paml_selected
OG0009498,paml_selected
OG0009506,paml_selected
OG0009532,paml_selected
OG0009536,paml_selected
OG0009546,paml_selected
OG0009561,paml_selected
OG0009562,paml_selected
OG0009568,paml_selected
OG0009574,paml_selected
OG0009576,paml_selected
OG0009584,paml_selected
OG0009590,paml_selected
OG0009596,paml_selected
OG0009613,paml_selected
OG0009617,paml_selected
OG0009638,paml_selected
OG0009654,paml_selected
OG0009656,paml_selected
OG0009658,paml_selected
OG0009679,paml_selected
OG0009691,paml_selected
OG0009693,paml_selected
OG0009716,paml_selected
OG0009724,paml_selected
OG0009733,paml_selected
OG0009740,paml_selected
OG0009761,paml_selected
OG0009764,paml_selected
OG0009770,paml_selected
OG0009775,paml_selected
OG0009785,paml_selected
OG0009787,paml_selected
OG0009812,paml_selected
OG0009820,paml_selected
OG0009837,paml_selected
OG0009841,paml_selected
OG0009843,paml_selected
OG0009856,paml_selected
OG0009874,paml_selected
OG0009894,paml_selected
OG0009918,paml_selected
