FamilyID,pvalue,cave.ratio,surface.ratio,DIFF,significant
OG0016025,0.168831169,0.5,0.066666667,0.4,no
OG0016046,0.168831169,0.5,0.066666667,0.4,no
OG0016326,0.168831169,0.5,0.066666667,0.4,no
OG0016658,0.168831169,0.5,0.066666667,0.4,no
OG0016744,0.168831169,0.5,0.066666667,0.4,no
OG0017121,0.168831169,0.5,0.066666667,0.4,no
OG0017182,0.168831169,0.5,0.066666667,0.4,no
OG0017191,0.168831169,0.5,0.066666667,0.4,no
OG0017285,0.168831169,0.5,0.066666667,0.4,no
OG0017306,0.168831169,0.5,0.066666667,0.4,no
OG0017748,0.168831169,0.5,0.066666667,0.4,no
OG0017862,0.168831169,0.5,0.066666667,0.4,no
OG0017983,0.168831169,0.5,0.066666667,0.4,no
OG0018477,0.168831169,0.5,0.066666667,0.4,no
OG0018488,0.168831169,0.5,0.066666667,0.4,no
OG0018567,0.168831169,0.5,0.066666667,0.4,no
OG0018616,0.168831169,0.5,0.066666667,0.4,no
OG0018701,0.168831169,0.5,0.066666667,0.4,no
OG0018702,0.168831169,0.5,0.066666667,0.4,no
OG0019406,0.168831169,0.5,0.066666667,0.4,no
OG0019427,0.168831169,0.5,0.066666667,0.4,no
OG0019465,0.168831169,0.5,0.066666667,0.4,no
OG0019473,0.168831169,0.5,0.066666667,0.4,no
OG0019528,0.168831169,0.5,0.066666667,0.4,no
OG0019575,0.168831169,0.5,0.066666667,0.4,no
OG0019776,0.168831169,0.5,0.066666667,0.4,no
OG0019988,0.168831169,0.5,0.066666667,0.4,no
OG0020015,0.168831169,0.5,0.066666667,0.4,no
OG0020730,0.168831169,0.5,0.066666667,0.4,no
OG0020949,0.168831169,0.5,0.066666667,0.4,no
OG0021191,0.168831169,0.5,0.066666667,0.4,no
OG0021410,0.168831169,0.5,0.066666667,0.4,no
OG0025034,0.168831169,0.5,0.066666667,0.4,no
OG0000073,0.655019903,1,0.6,0.4,no
OG0000087,0.655019903,1,0.6,0.4,no
OG0000058,0.291866029,0.5,0.142857143,0.4,no
OG0000099,0.291866029,0.5,0.142857143,0.4,no
OG0000190,0.291866029,0.5,0.142857143,0.4,no
OG0000204,0.291866029,0.5,0.142857143,0.4,no
OG0000234,0.291866029,0.5,0.142857143,0.4,no
OG0000380,0.291866029,0.5,0.142857143,0.4,no
OG0000424,0.291866029,0.5,0.142857143,0.4,no
OG0000567,0.291866029,0.5,0.142857143,0.4,no
OG0000678,0.291866029,0.5,0.142857143,0.4,no
OG0000718,0.291866029,0.5,0.142857143,0.4,no
OG0001002,0.291866029,0.5,0.142857143,0.4,no
OG0001035,0.291866029,0.5,0.142857143,0.4,no
OG0001324,0.291866029,0.5,0.142857143,0.4,no
OG0001511,0.291866029,0.5,0.142857143,0.4,no
OG0001756,0.291866029,0.5,0.142857143,0.4,no
OG0002274,0.291866029,0.5,0.142857143,0.4,no
OG0002326,0.291866029,0.5,0.142857143,0.4,no
OG0002875,0.291866029,0.5,0.142857143,0.4,no
OG0004433,0.291866029,0.5,0.142857143,0.4,no
OG0009598,0.291866029,0.5,0.142857143,0.4,no
OG0012801,0.291866029,0.5,0.142857143,0.4,no
OG0014200,0.291866029,0.5,0.142857143,0.4,no
OG0000112,0.585326954,0.5,0.230769231,0.3,no
OG0000160,0.585326954,0.5,0.230769231,0.3,no
OG0000260,0.585326954,0.5,0.230769231,0.3,no
OG0000280,0.585326954,0.5,0.230769231,0.3,no
OG0000310,0.585326954,0.5,0.230769231,0.3,no
OG0000493,0.585326954,0.5,0.230769231,0.3,no
OG0001137,0.585326954,0.5,0.230769231,0.3,no
OG0002289,0.585326954,0.5,0.230769231,0.3,no
OG0006043,0.585326954,0.5,0.230769231,0.3,no
OG0000107,0.272727273,0.2,0,0.2,no
OG0000138,0.272727273,0.2,0,0.2,no
OG0000162,0.272727273,0.2,0,0.2,no
OG0000177,0.272727273,0.2,0,0.2,no
OG0000203,0.272727273,0.2,0,0.2,no
OG0000210,0.272727273,0.2,0,0.2,no
OG0000219,0.272727273,0.2,0,0.2,no
OG0000222,0.272727273,0.2,0,0.2,no
OG0000232,0.272727273,0.2,0,0.2,no
OG0000233,0.272727273,0.2,0,0.2,no
OG0000248,0.272727273,0.2,0,0.2,no
OG0000309,0.272727273,0.2,0,0.2,no
OG0000343,0.272727273,0.2,0,0.2,no
OG0000357,0.272727273,0.2,0,0.2,no
OG0000360,0.272727273,0.2,0,0.2,no
OG0000374,0.272727273,0.2,0,0.2,no
OG0000418,0.272727273,0.2,0,0.2,no
OG0000428,0.272727273,0.2,0,0.2,no
OG0000444,0.272727273,0.2,0,0.2,no
OG0000453,0.272727273,0.2,0,0.2,no
OG0000455,0.272727273,0.2,0,0.2,no
OG0000457,0.272727273,0.2,0,0.2,no
OG0000502,0.272727273,0.2,0,0.2,no
OG0000507,0.272727273,0.2,0,0.2,no
OG0000519,0.272727273,0.2,0,0.2,no
OG0000520,0.272727273,0.2,0,0.2,no
OG0000521,0.272727273,0.2,0,0.2,no
OG0000528,0.272727273,0.2,0,0.2,no
OG0000534,0.272727273,0.2,0,0.2,no
OG0000542,0.272727273,0.2,0,0.2,no
OG0000570,0.272727273,0.2,0,0.2,no
OG0000571,0.272727273,0.2,0,0.2,no
OG0000573,0.272727273,0.2,0,0.2,no
