OG	count
OG0010649	1
OG0010135	1
OG0010279	1
OG0011891	1
OG0012753	1
OG0010642	1
OG0006709	1
OG0012451	1
OG0011818	1
OG0006550	1
OG0009503	1
OG0012666	1
OG0006952	1
OG0011910	1
OG0011409	1
OG0008134	1
OG0007422	1
OG0008833	1
OG0008423	1
OG0010952	1
OG0012564	1
OG0008876	1
OG0012532	1
OG0010837	1
OG0011730	1
OG0007287	1
OG0011507	1
OG0013267	1
OG0006565	1
OG0008659	1
OG0007242	1
OG0010949	1
OG0007488	1
OG0011655	1
OG0009600	1
OG0009189	1
OG0012360	1
OG0012215	1
OG0010365	1
OG0007098	1
OG0013451	1
OG0010867	1
OG0011250	1
OG0008198	1
OG0009365	1
OG0009524	1
OG0009023	1
OG0010168	1
OG0012958	1
OG0009299	1
OG0011679	1
OG0008980	1
OG0010739	1
OG0011106	1
OG0008350	1
OG0012965	1
OG0009689	1
OG0009428	1
OG0007196	1
OG0010589	1
OG0008238	1
OG0006487	1
OG0011127	1
OG0012387	1
OG0010354	1
OG0010625	1
OG0011924	1
OG0014154	1
OG0011117	1
OG0006561	1
OG0009180	1
OG0006654	1
OG0007796	1
OG0007890	1
OG0006757	1
OG0013684	1
OG0010319	1
OG0007699	1
OG0010825	1
OG0006710	1
OG0006980	1
OG0013200	1
OG0011918	1
OG0006591	1
OG0011410	1
OG0007469	1
OG0009384	1
OG0014075	1
OG0007563	1
OG0009254	1
OG0007720	1
OG0009046	1
OG0011363	1
OG0009956	1
OG0008389	1
OG0007653	1
OG0011594	1
OG0011772	1
OG0012861	1
OG0011217	1
OG0011773	1
OG0009459	1
OG0008252	1
OG0012001	1
OG0008293	1
OG0013191	1
OG0010472	1
OG0009218	1
OG0011116	1
OG0012222	1
OG0006318	1
OG0008751	1
OG0011327	1
OG0008802	1
OG0006720	1
OG0009823	1
OG0009883	1
OG0012189	1
OG0009914	1
OG0012392	1
OG0008643	1
OG0010590	1
OG0011227	1
OG0006157	1
OG0012446	1
OG0007062	1
OG0010159	1
OG0009141	1
OG0010202	1
OG0009928	1
OG0006941	1
OG0009958	1
OG0010498	1
OG0006643	1
OG0005289	1
OG0008401	1
OG0006911	1
OG0008020	1
OG0011994	1
OG0009171	1
OG0007429	1
OG0008563	1
OG0010530	1
OG0010212	1
OG0007133	1
OG0011331	1
OG0007324	1
OG0007940	1
OG0012794	1
OG0008476	1
OG0010141	1
OG0010165	1
OG0008232	1
OG0010876	1
OG0013863	1
OG0011174	1
OG0010011	1
OG0012507	1
OG0010631	1
OG0005695	1
OG0010641	1
OG0008692	1
OG0010908	1
OG0010890	1
OG0011092	1
OG0009450	1
OG0011797	1
OG0011553	1
OG0010539	1
OG0013707	1
OG0011727	1
OG0011509	1
OG0006274	1
OG0007577	1
OG0012773	1
OG0010401	1
OG0011612	1
OG0009260	1
OG0013288	1
OG0012376	1
OG0012986	1
OG0009763	1
OG0011242	1
OG0010422	1
OG0010095	1
OG0010439	1
OG0009674	1
OG0012157	1
OG0006685	1
OG0009672	1
OG0006648	1
OG0009647	1
OG0007812	1
OG0007862	1
OG0013370	1
OG0007342	1
OG0011260	1
OG0014323	1
OG0007799	1
OG0012685	1
OG0009337	1
OG0009888	1
OG0010784	1
OG0010630	1
OG0010476	1
OG0010510	1
OG0013485	1
OG0006660	1
OG0008028	1
OG0011445	1
OG0013075	1
OG0013762	1
OG0010418	1
OG0007317	1
OG0006111	1
OG0010144	1
OG0012500	1
OG0012312	1
OG0011967	1
OG0011420	1
OG0008030	1
OG0011225	1
OG0011827	1
OG0013101	1
OG0011868	1
OG0012795	1
OG0012515	1
OG0012876	1
OG0012098	1
OG0014396	1
OG0008422	1
OG0009772	1
OG0011346	1
OG0007493	1
OG0008351	1
OG0009895	1
OG0008240	1
OG0009410	1
OG0012480	1
OG0011196	1
OG0010711	1
OG0009272	1
OG0013037	1
OG0005404	1
OG0007947	1
OG0008616	1
OG0011726	1
OG0007489	1
OG0005692	1
OG0010076	1
OG0012937	1
OG0009323	1
OG0006655	1
OG0007716	1
OG0010349	1
OG0008549	1
OG0006779	1
OG0014164	1
OG0005592	1
OG0009880	1
OG0007717	1
OG0010480	1
OG0010553	1
OG0012665	1
OG0009284	1
OG0012959	1
OG0010935	1
OG0010457	1
OG0007910	1
OG0008861	1
OG0009547	1
OG0013368	1
OG0005650	1
OG0011925	1
OG0013613	1
OG0012127	1
OG0005305	1
OG0011907	1
OG0010355	1
OG0011209	1
OG0007587	1
OG0006553	1
OG0010927	1
OG0011849	1
OG0007849	1
OG0013497	1
OG0012276	1
OG0011832	1
OG0007454	1
OG0010241	1
OG0012113	1
OG0007807	1
OG0011098	1
OG0010271	1
OG0010857	1
OG0006185	1
OG0012477	1
OG0010009	1
OG0012450	1
OG0010283	1
OG0011528	1
OG0007985	1
OG0005165	1
OG0008704	1
OG0012441	1
OG0008887	1
OG0008995	1
OG0008089	1
OG0010496	1
OG0008117	1
OG0008851	1
OG0009143	1
OG0007514	1
OG0006715	1
OG0013201	1
OG0009852	1
OG0007875	1
OG0010060	1
OG0009378	1
OG0012373	1
OG0008098	1
OG0011813	1
OG0010461	1
OG0007621	1
OG0007566	1
OG0008436	1
OG0009013	1
OG0008127	1
OG0006227	1
OG0008760	1
OG0011936	1
OG0008712	1
OG0007651	1
OG0009392	1
OG0010378	1
OG0006294	1
OG0007681	1
OG0010798	1
OG0009374	1
OG0013024	1
OG0013452	1
OG0010166	1
OG0012317	1
OG0010235	1
OG0011583	1
OG0010836	1
OG0013237	1
OG0010749	1
OG0011596	1
OG0009083	1
OG0009748	1
OG0010036	1
OG0007696	1
OG0012625	1
OG0010612	1
OG0009429	1
OG0011666	1
OG0012010	1
OG0009722	1
OG0011171	1
OG0007237	1
OG0010728	1
OG0006988	1
OG0013724	1
OG0012592	1
OG0011650	1
OG0006412	1
OG0011814	1
OG0006936	1
OG0009062	1
OG0013064	1
OG0013250	1
OG0008114	1
OG0009115	1
OG0009149	1
OG0008871	1
OG0007158	1
OG0009366	1
OG0013467	1
OG0012901	1
OG0008938	1
OG0011683	1
OG0011435	1
OG0008446	1
